IP,Name,Test_Num,Record,Record_Type,Duration,TTL,Answer_Count,Response
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,76.87115669250488,128439,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,74.48005676269531,150242,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,76.66301727294922,136842,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,83.54687690734863,137474,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,71.01798057556152,199771,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,81.87007904052734,139280,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,92.60702133178711,172732,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,79.67591285705566,137472,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,82.39197731018066,237071,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,91.31097793579102,139117,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,82.7178955078125,149817,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,78.63497734069824,136842,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,91.90201759338379,149968,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,78.92990112304688,150536,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,81.63714408874512,199876,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,75.73890686035156,127632,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,92.88191795349121,172364,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,86.70210838317871,137464,1,198.41.0.4,
